datetime_gmt8,league,league_short,league_flag,league_color,home_name,away_name,odds_1,odds_x,odds_2,league_tier,competition_type,is_future,status,ah_line_home,ah_line_away,ah_odds_home,ah_odds_away,home_score,away_score,has_recommendation,rec_text,line,rec_odds,ev,confidence,kings_call,kings_call_agreement,primary_signal,secondary_signal
2025-09-28 03:00:00,Netherlands Eredivisie,Eredivisie,🇳🇱,#ff6200,Heracles,Sparta Rotterdam,2.8,3.6,2.37,2,league,True,incomplete,0.25,-0.25,1.925,1.925,0,0,True,Heracles +0.25,0.25,1.925,0.17602038412900817,High,,,kings-call,value
2025-09-28 03:00:00,Spain La Liga,La Liga,🇪🇸,#ee8900,Villarreal,Athletic Club Bilbao,2.1,3.3,3.6,1,league,True,incomplete,-0.25,0.25,1.925,1.925,0,0,True,Athletic Club Bilbao +0.25,0.25,1.925,0.14037793647643676,High,,,hot-pick,value
2025-09-28 03:00:00,England Premier League,EPL,🏴󠁧󠁢󠁥󠁮󠁧󠁿,#38003c,Tottenham Hotspur,Wolverhampton Wanderers,1.48,4.7,6.0,1,league,True,incomplete,-1.25,1.25,1.925,1.925,0,0,True,Wolverhampton Wanderers +1.25,1.25,1.925,0.3417845529776026,High,,,kings-call,value
2025-09-28 03:05:00,France Ligue 1,Ligue 1,🇫🇷,#dae025,PSG,Auxerre,1.14,7.8,14.0,1,league,True,incomplete,-2.0,2.0,1.925,1.925,0,0,True,Auxerre +2.0,2.0,1.925,0.5436785061643602,High,,,kings-call,value
2025-09-28 03:30:00,Portugal Liga NOS,Liga NOS,🇵🇹,#046a38,GD Estoril Praia,Sporting CP,10.5,5.6,1.28,2,league,True,incomplete,1.5,-1.5,1.925,1.925,0,0,True,GD Estoril Praia +1.5,1.5,1.925,0.293359375,High,,,kings-call,value
2025-09-28 16:00:00,Japan J1 League,J1 League,🇯🇵,#e60012,Yokohama,Shonan Bellmare,2.04,3.05,3.31,3,league,True,incomplete,-0.5,0.5,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-28 17:00:00,Japan J1 League,J1 League,🇯🇵,#e60012,Tokyo,Yokohama F. Marinos,1.96,3.39,3.18,3,league,True,incomplete,-0.5,0.5,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-28 17:30:00,Japan J1 League,J1 League,🇯🇵,#e60012,Cerezo Osaka,Kyoto Sanga,1.87,3.45,3.4,3,league,True,incomplete,-0.5,0.5,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
2025-09-28 18:00:00,Japan J1 League,J1 League,🇯🇵,#e60012,Kawasaki Frontale,Kashiwa Reysol,2.48,3.17,2.49,3,league,True,incomplete,0.0,-0.0,1.925,1.925,0,0,True,Kashiwa Reysol -0.0,-0.0,1.925,0.1566628865828227,High,,,kings-call,value
2025-09-28 18:15:00,Netherlands Eredivisie,Eredivisie,🇳🇱,#ff6200,NEC,AZ,3.0,3.5,2.1,2,league,True,incomplete,0.25,-0.25,1.925,1.925,0,0,False,,0.0,0.0,0.0,,,,,
